type,value
root,sdf
root,def
root,ghi
root,jkl
root,mno
root,pqr
root,stu
root,vwx
root,yza
root,bcd
root,efg
root,hij
root,jklm
root,mnp
root,qrs
root,tuv
root,wxy
root,zab
root,cde
root,fgh
root,ijk
root,lmn
root,opq
root,rst
root,uvw
root,xyz
root,abc
root,bef
root,cgh
root,dij
root,klm
root,nop
root,qrs
root,tuv
root,vwx
root,yza
root,asfg
root,efgh
root,ijkl
root,mnop
root,qrst
root,uvwx
root,yzab
root,chef
root,ghij
root,jklm
root,nopq
root,rstu
root,vwxy
root,zabc
root,defg
root,hijk
root,lmno
root,opqr
root,stuv
root,wxyz
root,abgd
root,efgh
root,ijkl
root,mnop
root,qrst
root,uvwx
root,yzab
root,cdef
root,ghij
root,jklm
root,nopq
root,rstu
root,vwxy
root,juhnj
root,fghij
root,klmno
root,pqrst
root,uvwxy
root,yzabc
root,cdefg
root,hijkl
root,lmnop
root,opqrs
root,stuvw
root,xyzab
root,abcde
root,bcdef
root,ghiuk
root,mnopq
root,rstuv
root,wxyzf
root,abcfg
root,hijkm
root,lmkpq
root,qrstx
root,stuvw
root,xyzae
root,apcpe
root,fghik
root,klmnp
root,pqust
root,uvwxy
root,yzabc
root,cdefh
root,hijkl
root,lmnoq
root,liopdr
root,ghijkl
root,mnopqr
root,stuvwx
root,yzabcd
root,cdefgh
root,ijklmn
root,opirst
root,uvwxyz
root,abcdef
root,ghijmn
root,mnopqs
root,stuvwy
root,yzabce
root,cdefij
root,ijolop
root,opqrst
root,uvwxzy
root,abcxyz
root,defuvw
root,ghijkn
root,lmnopx
root,rstuvq
root,xyzabc
root,fghijk
prefix,aus
prefix,fon
prefix,fen
prefix,azau
prefix,uzau
prefix,lek
prefix,liuk
prefix,brax
prefix,bruxo
prefix,dren
prefix,dern
prefix,hyza
prefix,jelq
prefix,korv
prefix,luxo
prefix,melq
prefix,nexu
prefix,mel
prefix,nel
prefix,fel
suffix,azo
suffix,ezo
suffix,izo
suffix,ozo
suffix,uzo
suffix,jagu
suffix,jegu
suffix,jigu
suffix,jogu
suffix,jugu
suffix,kazo
suffix,lizo
suffix,mizo
suffix,nuzo
suffix,pazo
suffix,qezo
suffix,razo
suffix,sizo
suffix,tizo
suffix,uizo
suffix,vizo
suffix,wazo
suffix,xezo
suffix,yizo
suffix,zuzo
suffix,bogu
suffix,cogu
suffix,dogu
suffix,fogu
suffix,gogu
suffix,hogu
suffix,igu
suffix,kogu
suffix,logu
suffix,mogu
suffix,nogu
suffix,pogu
suffix,qogu
suffix,rugu
suffix,sogu
suffix,togu
suffix,ugu
suffix,vogu
suffix,wogu
suffix,xogu
suffix,yogu
suffix,zogu
